sno,sna,time,hide,release
500101042,基隆長興路口東側,06:30,0,1
500101231,大安國小,06:30,0,1
500101240,和平東路二段76巷,06:30,0,1
500101248,和平溫州街口,06:30,0,1
500101032,臺大男一舍前,07:00,0,2
500101097,臥龍樂業街口,07:00,0,1
500101150,捷運忠孝新生站(4號出口),07:00,0,3
500101032,臺大男一舍前,07:30,0,3
500101097,臥龍樂業街口,07:30,0,1
500101132,建國濟南路口,07:30,1,0
500101150,捷運忠孝新生站(4號出口),07:30,0,2
500101193,基隆長興路口,07:30,0,2
500101032,臺大男一舍前,09:00,0,2
500101193,基隆長興路口,09:00,0,2
500101210,敦化南路二段81巷,09:00,10,0
500101132,建國濟南路口,09:30,10,0
500101193,基隆長興路口,09:30,0,1
500101210,敦化南路二段81巷,09:30,0,5
500101132,建國濟南路口,10:00,3,0
500101210,敦化南路二段81巷,10:00,0,1
500101132,建國濟南路口,10:30,0,7
500101210,敦化南路二段81巷,10:30,0,2
500101132,建國濟南路口,11:30,0,1
500101210,敦化南路二段81巷,11:30,0,1
500101132,建國濟南路口,12:00,0,1
500101132,建國濟南路口,13:00,0,1
500101132,建國濟南路口,13:30,0,1
500101032,臺大男一舍前,14:00,0,1
500101132,建國濟南路口,14:00,0,1
500101132,建國濟南路口,14:30,0,1
500101150,捷運忠孝新生站(4號出口),17:00,0,1
500101150,捷運忠孝新生站(4號出口),19:00,0,1
500101116,金華公園,19:30,3,0
500101116,金華公園,20:00,0,1
500101116,金華公園,20:30,0,1
500101216,和平東路二段18巷口,20:30,2,0
500101259,臺靜農人文會館,20:30,1,0
500101116,金華公園,21:00,0,1
500101216,和平東路二段18巷口,21:00,0,1
500101259,臺靜農人文會館,21:00,0,1
500101031,臺大男七舍前,21:30,1,0
500101163,瑞安街208巷,21:30,1,0
500101211,原臺北刑務所官舍,21:30,2,0
500101216,和平東路二段18巷口,21:30,1,0
500101231,大安國小,21:30,1,0
500101031,臺大男七舍前,22:00,4,0
500101032,臺大男一舍前,22:00,8,0
500101033,臺大男六舍前,22:00,2,0
500101042,基隆長興路口東側,22:00,1,0
500101097,臥龍樂業街口,22:00,5,0
500101130,民榮公園,22:00,4,0
500101143,昌隆公園,22:00,3,0
500101163,瑞安街208巷,22:00,1,0
500101211,原臺北刑務所官舍,22:00,2,0
500101216,和平東路二段18巷口,22:00,1,0
500101231,大安國小,22:00,3,0
500101240,和平東路二段76巷,22:00,2,0
500101259,臺靜農人文會館,22:00,2,0
500101031,臺大男七舍前,22:30,0,2
500101032,臺大男一舍前,22:30,3,0
500101097,臥龍樂業街口,22:30,1,0
500101102,喬治工商,22:30,1,0
500101108,和平泰順街口,22:30,1,0
500101130,民榮公園,22:30,0,1
500101163,瑞安街208巷,22:30,0,1
500101176,芳蘭山莊,22:30,1,0
500101216,和平東路二段18巷口,22:30,0,2
500101230,安和路二段69巷口,22:30,2,0
500101253,大安路二段90巷口,22:30,1,0
500101257,龍圖公園,22:30,1,0
500101031,臺大男七舍前,23:00,0,2
500101032,臺大男一舍前,23:00,1,0
500101042,基隆長興路口東側,23:00,0,1
500101097,臥龍樂業街口,23:00,0,1
500101102,喬治工商,23:00,1,0
500101116,金華公園,23:00,3,0
500101163,瑞安街208巷,23:00,0,1
500101211,原臺北刑務所官舍,23:00,0,2
500101216,和平東路二段18巷口,23:00,0,1
500101230,安和路二段69巷口,23:00,0,1
500101240,和平東路二段76巷,23:00,1,0
500101248,和平溫州街口,23:00,1,0
500101253,大安路二段90巷口,23:00,1,0
500101003,國北教大實小東側門,23:30,3,0
500101013,和平復興路口西北側,23:30,1,0
500101031,臺大男七舍前,23:30,0,1
500101097,臥龍樂業街口,23:30,0,2
500101113,臺北市立圖書館(總館),23:30,2,0
500101130,民榮公園,23:30,0,1
500101149,捷運忠孝新生站(6號出口),23:30,1,0
500101190,敦親公園,23:30,1,0
500101216,和平東路二段18巷口,23:30,1,0
500101230,安和路二段69巷口,23:30,1,0
500101253,大安路二段90巷口,23:30,0,1
500101259,臺靜農人文會館,23:30,0,1
