type,interval_time,from,to,quantity,hide_in,hide_out
dispatch,03:30,500101225,500101150,1,,
hide/release,03:30,500101231,,,0,1
hide/release,03:30,500101240,,,0,1
dispatch,03:30,500101248,500101147,1,,
hide/release,03:30,500101248,,,0,1
hide/release,03:30,500101253,,,0,1
dispatch,03:30,500101259,500101146,2,,
dispatch,03:30,500101259,500101182,1,,
hide/release,03:30,500101259,,,0,3
dispatch,04:00,500101003,500101188,1,,
hide/release,04:00,500101013,,,0,1
dispatch,04:00,500101019,500101197,4,,
hide/release,04:00,500101019,,,0,3
hide/release,04:00,500101032,,,0,2
dispatch,04:00,500101033,500101022,3,,
hide/release,04:00,500101033,,,0,3
dispatch,04:00,500101091,500101209,1,,
hide/release,04:00,500101095,,,0,2
hide/release,04:00,500101097,,,0,1
dispatch,04:00,500101113,500101110,1,,
dispatch,04:00,500101113,500101132,3,,
dispatch,04:00,500101113,500101250,5,,
hide/release,04:00,500101113,,,0,6
hide/release,04:00,500101116,,,0,2
dispatch,04:00,500101119,500101024,1,,
dispatch,04:00,500101126,500101140,2,,
dispatch,04:00,500101128,500101171,1,,
hide/release,04:00,500101129,,,1,0
hide/release,04:00,500101130,,,0,1
hide/release,04:00,500101142,,,0,1
hide/release,04:00,500101157,,,0,1
hide/release,04:00,500101158,,,0,1
hide/release,04:00,500101163,,,0,1
dispatch,04:00,500101170,500101150,2,,
dispatch,04:00,500101176,500101181,2,,
hide/release,04:00,500101176,,,0,1
dispatch,04:00,500101187,500101123,1,,
hide/release,04:00,500101187,,,0,1
dispatch,04:00,500101190,500101150,3,,
hide/release,04:00,500101190,,,0,3
dispatch,04:00,500101192,500101156,1,,
dispatch,04:00,500101193,500101182,1,,
dispatch,04:00,500101193,500101196,2,,
hide/release,04:00,500101193,,,0,1
dispatch,04:00,500101199,500101150,1,,
hide/release,04:00,500101211,,,0,1
hide/release,04:00,500101215,,,0,1
dispatch,04:00,500101216,500101184,1,,
hide/release,04:00,500101216,,,0,1
hide/release,04:00,500101225,,,0,1
dispatch,04:00,500101226,500101024,2,,
dispatch,04:00,500101231,500101010,1,,
dispatch,04:00,500101240,500101209,1,,
hide/release,04:00,500101240,,,0,1
dispatch,04:00,500101246,500101150,1,,
dispatch,04:00,500101246,500101181,3,,
hide/release,04:00,500101248,,,0,1
dispatch,04:00,500101253,500101250,1,,
dispatch,04:00,500101257,500101209,3,,
hide/release,04:00,500101257,,,0,2
dispatch,04:00,500101259,500101151,2,,
hide/release,04:00,500101259,,,0,1
dispatch,04:30,500101013,500101185,2,,
hide/release,04:30,500101013,,,0,1
hide/release,04:30,500101019,,,0,1
dispatch,04:30,500101027,500101159,1,,
dispatch,04:30,500101032,500101137,4,,
hide/release,04:30,500101032,,,0,3
dispatch,04:30,500101033,500101132,3,,
hide/release,04:30,500101033,,,0,2
