mu,alpha,beta,K,H,L,numTruck,pair,X,Y,objective,mean_wait
1.5,0.02,0.015,100,40,25,4,alpha_beta,0.02,0.015,1457.2666666666664,7.283333333333332
1.5,0.02,0.02,100,40,25,4,alpha_beta,0.02,0.02,1457.4666666666667,7.283333333333332
1.5,0.02,0.025,100,40,25,4,alpha_beta,0.02,0.025,1457.6666666666665,7.283333333333332
1.5,0.02,0.030000000000000002,100,40,25,4,alpha_beta,0.02,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.02,0.034999999999999996,100,40,25,4,alpha_beta,0.02,0.034999999999999996,1458.0666666666664,7.283333333333332
1.5,0.02,0.04,100,40,25,4,alpha_beta,0.02,0.04,1458.2666666666664,7.283333333333332
1.5,0.02,0.045,100,40,25,4,alpha_beta,0.02,0.045,1458.4666666666665,7.283333333333332
1.5,0.025,0.005,100,40,25,4,alpha_beta,0.025,0.005,1456.8666666666666,7.283333333333332
1.5,0.025,0.01,100,40,25,4,alpha_beta,0.025,0.01,1457.0666666666664,7.283333333333332
1.5,0.025,0.015,100,40,25,4,alpha_beta,0.025,0.015,1457.2666666666664,7.283333333333332
1.5,0.025,0.02,100,40,25,4,alpha_beta,0.025,0.02,1457.4666666666667,7.283333333333332
1.5,0.025,0.025,100,40,25,4,alpha_beta,0.025,0.025,1457.6666666666665,7.283333333333332
1.5,0.025,0.030000000000000002,100,40,25,4,alpha_beta,0.025,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.025,0.034999999999999996,100,40,25,4,alpha_beta,0.025,0.034999999999999996,1458.0666666666664,7.283333333333332
1.5,0.025,0.04,100,40,25,4,alpha_beta,0.025,0.04,1458.2666666666664,7.283333333333332
1.5,0.025,0.045,100,40,25,4,alpha_beta,0.025,0.045,1458.4666666666665,7.283333333333332
1.5,0.030000000000000002,0.005,100,40,25,4,alpha_beta,0.030000000000000002,0.005,1456.8666666666666,7.283333333333332
1.5,0.030000000000000002,0.01,100,40,25,4,alpha_beta,0.030000000000000002,0.01,1457.0666666666664,7.283333333333332
1.5,0.030000000000000002,0.015,100,40,25,4,alpha_beta,0.030000000000000002,0.015,1457.2666666666664,7.283333333333332
1.5,0.030000000000000002,0.02,100,40,25,4,alpha_beta,0.030000000000000002,0.02,1457.4666666666667,7.283333333333332
1.5,0.030000000000000002,0.025,100,40,25,4,alpha_beta,0.030000000000000002,0.025,1457.6666666666665,7.283333333333332
1.5,0.030000000000000002,0.030000000000000002,100,40,25,4,alpha_beta,0.030000000000000002,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.030000000000000002,0.034999999999999996,100,40,25,4,alpha_beta,0.030000000000000002,0.034999999999999996,1458.0666666666664,7.283333333333332
1.5,0.030000000000000002,0.04,100,40,25,4,alpha_beta,0.030000000000000002,0.04,1458.2666666666664,7.283333333333332
1.5,0.030000000000000002,0.045,100,40,25,4,alpha_beta,0.030000000000000002,0.045,1458.4666666666665,7.283333333333332
1.5,0.034999999999999996,0.005,100,40,25,4,alpha_beta,0.034999999999999996,0.005,1456.8666666666666,7.283333333333332
1.5,0.034999999999999996,0.01,100,40,25,4,alpha_beta,0.034999999999999996,0.01,1457.0666666666664,7.283333333333332
1.5,0.034999999999999996,0.015,100,40,25,4,alpha_beta,0.034999999999999996,0.015,1457.2666666666664,7.283333333333332
1.5,0.034999999999999996,0.02,100,40,25,4,alpha_beta,0.034999999999999996,0.02,1457.4666666666667,7.283333333333332
1.5,0.034999999999999996,0.025,100,40,25,4,alpha_beta,0.034999999999999996,0.025,1457.6666666666665,7.283333333333332
1.5,0.034999999999999996,0.030000000000000002,100,40,25,4,alpha_beta,0.034999999999999996,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.034999999999999996,0.034999999999999996,100,40,25,4,alpha_beta,0.034999999999999996,0.034999999999999996,1458.0666666666666,7.283333333333332
1.5,0.034999999999999996,0.04,100,40,25,4,alpha_beta,0.034999999999999996,0.04,1458.2666666666664,7.283333333333332
1.5,0.034999999999999996,0.045,100,40,25,4,alpha_beta,0.034999999999999996,0.045,1458.4666666666665,7.283333333333332
1.5,0.04,0.005,100,40,25,4,alpha_beta,0.04,0.005,1456.8666666666666,7.283333333333332
1.5,0.04,0.01,100,40,25,4,alpha_beta,0.04,0.01,1457.0666666666664,7.283333333333332
1.5,0.04,0.015,100,40,25,4,alpha_beta,0.04,0.015,1457.2666666666664,7.283333333333332
1.5,0.04,0.02,100,40,25,4,alpha_beta,0.04,0.02,1457.4666666666667,7.283333333333332
1.5,0.04,0.025,100,40,25,4,alpha_beta,0.04,0.025,1457.6666666666665,7.283333333333332
1.5,0.04,0.030000000000000002,100,40,25,4,alpha_beta,0.04,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.04,0.034999999999999996,100,40,25,4,alpha_beta,0.04,0.034999999999999996,1458.0666666666664,7.283333333333332
1.5,0.04,0.04,100,40,25,4,alpha_beta,0.04,0.04,1458.2666666666667,7.283333333333332
1.5,0.04,0.045,100,40,25,4,alpha_beta,0.04,0.045,1458.4666666666665,7.283333333333332
1.5,0.045,0.005,100,40,25,4,alpha_beta,0.045,0.005,1456.8666666666666,7.283333333333332
1.5,0.045,0.01,100,40,25,4,alpha_beta,0.045,0.01,1457.0666666666664,7.283333333333332
1.5,0.045,0.015,100,40,25,4,alpha_beta,0.045,0.015,1457.2666666666664,7.283333333333332
1.5,0.045,0.02,100,40,25,4,alpha_beta,0.045,0.02,1457.4666666666667,7.283333333333332
1.5,0.045,0.025,100,40,25,4,alpha_beta,0.045,0.025,1457.6666666666665,7.283333333333332
1.5,0.045,0.030000000000000002,100,40,25,4,alpha_beta,0.045,0.030000000000000002,1457.8666666666666,7.283333333333332
1.5,0.045,0.034999999999999996,100,40,25,4,alpha_beta,0.045,0.034999999999999996,1458.0666666666664,7.283333333333332
1.5,0.045,0.04,100,40,25,4,alpha_beta,0.045,0.04,1458.2666666666667,7.283333333333332
1.5,0.045,0.045,100,40,25,4,alpha_beta,0.045,0.045,1458.4666666666665,7.283333333333332
